NAAM,ALCOHOL %,BROUWERIJ
Blanchette deGaume,5.000000,Brouwerij Millevertus
Blanchette deLorraine,5.000000,Brouwerij Millevertus
Blankenbergse Kokketeute,7.200000,Van Steenberge
BLAUW,5.200000,Brouwerij Bockor
Blauwersbier,6.500000,Brouwerij Van Eecke
Bloemenbier,7.000000,De ProefBrouwerij
Bière de la Bonde,10.000000,Brouwerij Van Eecke
Bleeken Moriaen,10.000000,Brouwerij Van Eecke
Blonde,7.000000,Brouwerij de Bellevaux
Blonde,1.200000,Brouwerij Haacht
Blonde Bie,8.000000,Brouwerij De Bie
Blonde de Brabant,6.000000,Groep John Martin
Blonde de Noël,10.000000,Brouwerij Caulier
Blondelle,7.000000,t HofBrouwerijke
Blondine,8.000000,Brouwerij Van Steenbergevoor Hopduvel Gent
Blondine IPA,8.000000,Brouwerij De Graal voorHopduvel Gent
Bock Leroy,1.800000,Brouwerij Het Sas
Bock Pils,5.200000,Brouwerij Palm
Bockor Pils,5.200000,Brouwerij Bockor
Bocq Christmas,8.100000,Brouwerij Du Bocq
Boembeke Luiwerk,6.500000,Brouwerij De Graal
Boerinneken,9.500000,De ProefBrouwerij voor Den OudenAdvokaat
Bokkereyer,6.000000,Brouwerij Sint-Jozef
BollevilleCalvados Barrel OA,10.000000,Brouwerij Alvinne
Bokrijks,7.200000,Brouwerij du Bocq
Bon Homme,6.500000,Brouwerij De Leite
Bon SecoursAmbrée,8.000000,Brouwerij Caulier
Bon SecoursBlonde,8.000000,Brouwerij Caulier
Bon Secours Brune,8.000000,Brouwerij Caulier
Bon SecoursFramboise,7.000000,Brouwerij Caulier
Bon SecoursMyrtille,7.000000,Brouwerij Caulier
Bon Secours Noël,10.000000,Brouwerij Caulier
Boneffe,9.000000,Brouwerij de Tubize
Bons Voeux,9.500000,Brouwerij Dupont
Bornem Dubbel,8.000000,Brouwerij Van Steenberge
Bornem Tripel,9.000000,Brouwerij Van Steenberge
Bos Bier,9.000000,Brouwerij DijkWaert
Bosbier,4.000000,Brouwerij Sint-Jozef
Boscoli,3.500000,Brouwerij Het Anker
Boskeun,7.000000,De Dolle Brouwers
Bosprotter,8.500000,t HofBrouwerijke
Bourgogne desFlandres Blond,6.000000,Brouwerij Timmermans
Bourgogne desFlandres Bruin,5.000000,Brouwerij Timmermans
Brouwerij desRocs Triple Impériale,10.000000,Brouwerij de l’Abbaye desRocs
BRAS,10.000000,Brouwerij Den Tseut
Brave Broeder,5.000000,Brouwerij de Silly
Bravoure,6.500000,Brouwerij De Dochter van deKorenaar
Bremserbier,6.000000,HuisBrouwerij de 3 vaten
Brice,7.500000,Brouwerij Grain d’Orge
Briekebakker,8.700000,Brouwerij Alvinne
Brigand,9.000000,Brouwerij Van Honsebrouck
Brigand IPA,6.500000,Brouwerij Van Honsebrouck
Broeder Jacob Bruin,7.500000,Brouwerij Broeder Jacob
Broeder Jacob Brut Rose Limited ed.,6.500000,Brouwerij Broeder Jacob
Broeder Jacob Formidabel,5.500000,Brouwerij Broeder Jacob
Broeder Jacob Tripel,7.500000,Brouwerij Broeder Jacob
Bruegel,5.000000,Brouwerij Van Steenberge
Brugge Blond,6.500000,Brouwerij Palm (vroeger inBrouwerij De Gouden Boom)
Brugge Tripel,8.700000,Brouwerij Palm (vroeger inBrouwerij De Gouden Boom)
Brugs(Tarwebier),4.800000,Alken-Maes (Heineken) (vroeger inBrouwerij De Gouden Boom)
Brugs Beertje 20,6.500000,Brouwerij De Regenboog
Brugs Beertje 25,9.000000,Brouwerij De Regenboog
Brugse Babbelaar,6.500000,De ProefBrouwerij
Brugse Bok,6.500000,Brouwerij De Halve Maan
Brugse Zot Blond,6.000000,Brouwerij De Halve Maan
Brugse Zot Dubbel,7.500000,Brouwerij De Halve Maan
Bruin Leroy,1.800000,Brouwerij Het Sas
Brune,6.800000,Brouwerij de Bellevaux
Brunehaut Terroir,5.000000,Brouwerij de Brunehaut
BrunehautTradition,6.500000,Brouwerij de Brunehaut
